Prefix,Code,Name,Lecture Hours:,Lab Hours:,Credit Hours:,Description (Rendered no HTML)
No Prefix Chosen,-1,No Course,0,0,0,No Description
ABA,511,Foundations of ABA,5,0,5,"Basic principles, characteristics, and concepts of Applied Behavior Analysis (ABA). Includes history of ABA, terminology, and applications. "
ABA,512,Foundations of ABA II,3,0,3,"Foundational knowledge for practice of Applied Behavior Analysis (ABA): basic principles, characteristics and concepts of ABA. "
ABA,521,Ethics,5,0,5,"Course content includes, but is not limited to, ethical principles, the BACB's ethics codes and requirements, the BACB's code-enforcement mechanisms, and professionalism. "
ABA,525,Research Methods in ABA,5,0,5,"Methods for conducting valid and reliable behavioral measurement and experimental evaluations of behavioral interventions, including data collection, data display, and data interpretation and designing and evaluating behavioral research designs. "
ABA,526,Behavioral Assessment I,3,0,3,"Behavioral assessment including descriptive assessments and functional analysis; methods of assessment, data collection and interpretation; assessment based selection of intervention; ethical and practical issues. "
ABA,531,Decreasing Behavior,5,0,5,Selection and implementation of behavior assessment and behavior analytic intervention techniques related to decreasing interfering or challenging behavior. 
ABA,532,Increasing Behavior,5,0,5,Selection and implementation of behavior assessment and behavior analytic intervention techniques related to developing new skills or increasing behavior. 
ABA,535,Special Topics in ABA,3,0,3,"Examination of systems, interventions, current issues, and/or advances in Applied Behavior Analysis; includes focus on strategies for managing program implementation and supervision of behavioral change agents. Topics vary. "
ABA,598,Practicum,2,0,2,Practical experience in Applied Behavior Analysis. Students will have the opportunity to develop proficiency in behavior analytic consultation and service delivery.  May be repeated for credit.   
ABA,501,ABA Colloquium,1,0,1,"Weekly seminar focused on current topics, research in ABA. May be repeated for credit. "
ABA,515,Basic Behavior Analysis,3,0,3,"Experimental analysis of behavior, human and non-human research, basic principles of operant and respondent conditioning. "
ABA,516,ABA and Human Development,3,0,3,"Typical and atypical development across the lifespan, emphasis on behavioral theories, principles, and applications. "
ABA,527,Behaviorism,5,0,5,"Underlying theoretical and philosophical foundations of behavior analysis (i.e., behaviorism). "
ABA,536,"Behavior, Physiology, and Pharmacology",3,0,3,"Interrelationship of physiological and behavioral processes, includes psychotropic medications, drug effects and interactions. "
ABA,565,Organizational Behavior Management,5,0,5,"Performance analysis and management, supervision, staff training, behavioral systems analysis, organizational culture, and leadership. "
ABA,566,ABA and Education,3,0,3,"Applications of behavior analysis in education; instructional design and classroom behavior management applications in education, special education, and college instruction. "
ABA,599,Thesis,variable,0,variable,Supervised research experience for the thesis leading to the master's degree in Applied Behavior Analysis. May be repeated for credit. 
ABA,507,Seminar,7,0,7,(Hours to be arranged each term.) 
ABA,524,Observations and Measurements,2,0,2,"Theory and practice related to the BACB Task List items related to observation and measurement including: methods for conducting valid and reliable direct observation techniques including data collection, data display, and data interpretation; methods for calculating inter-observer agreement. "
ABA,546,Behavioral Assessment II,2,0,2,"Assessment and measurement techniques related to skill deficits in children and adolescents with developmental or intellectual disability. Includes VB-MAPP, ABLLS, PEAK, EFL, AFLS, Vineland, social skills assessments, and others. "
ABA,547,Supervision and Management,3,0,3,"Methods of behavior analytic personnel supervision and management including but not limited to ethical and professional responsibilities, establishing performance standards and goals, feedback, behavior skills training, problem solving, and evaluation of the effectiveness of supervision. Additionally, this course will serve to fulfill the curriculum requirement for the BACB Supervisor 8-Hour Training based on the Supervisor Training Curriculum (2.0). "
ABA,522,Ethics & Professional Issues II,3,0,3,"Examines ethical and professional issues in Applied Behavior Analysis (ABA) focus on Compliance Code and application to ethical and professional conduct, ethical decision making, and professional practices. "
ABA,502,"Intro to Training, Science, & Practice of ABA I",1,0,1,"First of three term sequence to prepare students to benefit from supervised fieldwork and to practice as behavior analysts. Focus on requirements for obtaining supervised fieldwork, fieldwork best practices and documentation requirements.  "
ABA,503,"Intro to Training, Science, Practice of ABA II",1,0,1,Second course in three-term sequnce to prepare students to benefit from supervised fieldwork and to prepare students to practice as behavior analysts. Covers assessment and development of time management and interpersonal skills. 
ABA,504,"Intro to Training, Science & Practice of ABA",1,0,1,Third course in a three-term sequence to prepare students to benefit from supervised fieldwork and to prepare students to practice as behavior analysts. Focus on documentation and skills for caseload management. 
ABA,581,Clinical Skills I,2,0,2,"Application of basic skill acquisition procedures including but not limited to preference assessments, assessments to identify behavior in need of increase or acquisition, shaping, chaining, various prompt strategies, DTT and NET instruction "
ABA,582,Clinical Skills II,2,0,2,"Application of basic behavior reduction procedures including functional assessment, antecedent interventions, interventions based on motivating operations, differential reinforcement procedures, extinction, and punishment "
ABA,583,Clinical Skills III,2,0,2,"Case conceptualization skills, by examining real or ""contrived"" cases from intake, to assessment, goal selection and treatment recommendations "
ACAD,101,Student Success Sem,0,0,2,"A course to facilitate the success of first year students at OIT. Emphasis on faculty-student and student-student interactions. Includes academic resources, campus services, the learning process, communication skills, health and wellness issues. May also include academic skills and career planning. "
ACAD,107,Seminar,0,0,12,(Hours to be arranged each term.) 
ACAD,207,Seminar,0,0,12,(Hours to be arranged each term.) 
ACAD,307,Seminar,0,0,12,(Hours to be arranged each term.) 
ACAD,407,Seminar,0,0,12,(Hours to be arranged each term.) 
ACC,107,Seminar,0,0,12,(Hours to be arranged each term.) 
ACC,207,Seminar,6,0,6,(Hours to be arranged each term.) 
ACC,307,Seminar,6,0,6,(Hours to be arranged each term.) 
ACC,407,Seminar,6,0,6,(Hours to be arranged each term.) 
ACC,205,Computerized Accounting,2,6,4,"Spreadsheet software used to solve accounting problems, model-building techniques. Integrated accounting software introduced. "
ACC,320,Cost Accounting I,4,0,4,"Cost accumulation systems including job order costing, process costing and activity-based costing will be explored. Techniques to control and evaluate operations including variance analysis based on flexible budgets and standard costs. "
ACC,321,Cost Accounting II,4,0,4,"Continuation of Cost Accounting I. Strategic planning and financial budgeting. Cost measurement, planning, control and performance evaluation and behavioral issues. The role or responsibility accounting for revenue, cost, contribution and profit centers will be investigated. "
ACC,325,Finance,4,0,4,"Emphasis on working capital management, long-term finance, and capital structure. "
ACC,331,Interm Accounting I,4,0,4,"Financial accounting concepts, theory, and practices involving current asset accounts; practical application of theory to accounting problems. "
ACC,332,Interm Accounting II,4,0,4,"Accounting concepts, theory, and practices involving ownership equities, interpretation, analysis of financial statements, and correction of errors; practical application of theory to accounting problems. "
ACC,333,Interm Accounting III,4,0,4,"Accounting concepts, theory, and practices involving plant assets, intangible assets and liabilities; practical application of theory to accounting problems. "
ACC,305,Accounting Info Sys,4,0,4,Analysis of accounting cycles and the associated controls with emphasis on problem solving and critical thinking. Includes computerized accounting system implementation. 
ACC,411,Income Tax Procedures,4,0,4,Federal and state income tax laws and regulations applicable to individuals and their businesses including computerized tax return preparation. 
ACC,412,Corporate Taxation,4,0,4,"Federal tax law applicable to corporations, partnerships, and estates. Emphasis on tax research procedures, and locating and evaluating various sources of tax law. "
ACC,431,Advanced Accounting I,4,0,4,"Comprehensive study of problems in partnership accounting, fund accounting, branch accounting, and governmental accounting. "
ACC,432,Advanced Accounting II,4,0,4,"Analysis of problems facing small, medium, and large companies, with emphasis upon an integrated and concurrent decision making methodology applying economics, finance, accounting and tax theory. "
